term_normalized,predicted_category,best_score
'gourmet' indian cuisine,food,0.823167
abby's treasure,food,0.823167
actors,ambience,3.308594
aesthetics,ambience,3.308594
after dinner drinks,price,4.428888
aisle,ambience,3.308594
ala carte,anecdotes/miscellaneous,3.397861
all you can eat deal,price,4.428888
ambiance,ambience,2.986666
ambience,ambience,3.115949
american chinese food,food,0.823167
amuse bouche,service,2.376533
angry lobster,food,0.823167
anti-pasta,food,0.823167
antipasti,food,0.823167
apetizers,food,0.823167
appetizer,food,0.40813
appetizer platter,anecdotes/miscellaneous,3.397861
appetizers,price,1.728448
appitizers,food,0.823167
apple tarte tatin,food,0.823167
apples,food,0.823167
apppetizers,food,0.823167
apps,service,2.376533
architecture,ambience,3.308594
area,service,2.376533
argentinian pizza,food,0.823167
asian appetizers,food,0.823167
assorted sashimi,food,0.823167
assortment of fish,food,0.823167
assortment of fresh mushrooms and vegetables,food,0.823167
at moshphere,ambience,3.308594
atmorphere,ambience,3.308594
atmoshere,ambience,3.308594
atmosphere,ambience,3.221131
atomosphere,ambience,3.308594
attitude,service,2.376533
attitudes,ambience,3.308594
avocado,food,0.823167
baby pizzas,anecdotes/miscellaneous,2.397861
back garden,ambience,3.308594
back garden sitting area,ambience,3.308594
back patio,ambience,3.308594
bacon,food,0.823167
bacos,food,0.823167
bagel,price,0.728448
bagel with lox spread,food,0.823167
bagels,food,0.436144
bagles,food,0.823167
banana tempura,food,0.823167
banana tower,food,0.823167
bannan fritter,anecdotes/miscellaneous,3.397861
bar,anecdotes/miscellaneous,1.347235
bar food,food,0.823167
bar scene,anecdotes/miscellaneous,2.397861
bar service,service,2.376533
barbecued codfish,food,0.823167
barebecued salmon,food,0.823167
bartender,service,1.376533
bartenders,service,2.376533
basic dishes,food,0.823167
basil,food,0.823167
basmati rice dish,food,0.823167
bathrooms,ambience,3.308594
bbq ribs,food,0.823167
bbq salmon,food,0.823167
beans on toast,food,0.823167
beef,food,0.823167
beef cube on rice,food,0.823167
beef cubes,food,0.823167
beef noodle soup,food,0.823167
beef version,food,0.823167
beer,price,1.621533
beer selection,food,0.823167
beers,food,0.40813
beginning appetizers,food,0.823167
beverage manager,service,2.376533
beverage selections,food,0.823167
beverages,food,0.823167
bhelpuri,food,0.823167
bill,price,3.428888
bills,price,4.428888
bistro fare,food,0.823167
bistro-type vibe,ambience,3.308594
black cod with yuzu sauce,food,0.823167
black white shakes,food,0.823167
blue cheese,food,0.823167
blue fin torro fatty tuna ,food,0.823167
blue point oysters,price,4.428888
bombay beer,food,0.823167
bombay cosmopolitan,food,0.823167
bombay style chaat,food,0.823167
botle of wine,price,4.428888
boton shrimp,food,0.823167
bottle,price,4.428888
bottle of sake,food,0.823167
bottle of wine,price,2.843926
braised lamb shank in red wine,food,0.823167
brassiere food,food,0.823167
bread,food,0.600775
breads,food,0.823167
brioche and lollies,food,0.823167
broth with noodles,food,0.823167
brunch,anecdotes/miscellaneous,2.397861
bruscetta,food,0.823167
bruschetta,food,0.823167
bruschettas,food,0.823167
buffet,food,0.823167
bun,food,0.823167
buns,food,0.823167
burger,food,0.823167
busboy,service,2.376533
business dinner,anecdotes/miscellaneous,3.397861
butter,food,0.823167
buttery and tender langostine entree,food,0.823167
cakebread cabernet,food,0.823167
calamari,food,0.823167
calzones,food,0.823167
canned vegetables,food,0.823167
cantonese,food,0.823167
caprese salad,food,0.823167
caprese salad appetizer,anecdotes/miscellaneous,3.397861
care,food,0.823167
cart attendant,service,2.376533
case of snapple,anecdotes/miscellaneous,3.397861
casual dinner,anecdotes/miscellaneous,3.397861
caviar,food,0.823167
ceiling,ambience,2.723631
ceviche mix special ,food,0.823167
chai,food,0.823167
chai tea,food,0.823167
champagne,food,0.823167
change mojito,food,0.823167
check,service,2.376533
cheescake,food,0.823167
cheese,food,0.501239
cheese fondue,food,0.823167
cheese sticks,anecdotes/miscellaneous,3.397861
cheeseburgers,food,0.823167
cheesecake,food,0.823167
chef,anecdotes/miscellaneous,0.812899
chef app,food,0.823167
cheff,food,0.823167
