split,sentence_id,aspect_id,text,term,term_normalized,polarity,char_from,char_to
train,3121,3121::term::0,But the staff was so horrible to us.,staff,staff,negative,8,13
train,2777,2777::term::0,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,food,positive,57,61
train,1634,1634::term::0,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,food,positive,4,8
train,1634,1634::term::1,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,kitchen,positive,55,62
train,1634,1634::term::2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,menu,neutral,141,145
train,2846,2846::term::0,"Not only was the food outstanding, but the little 'perks' were great.",food,food,positive,17,21
train,2846,2846::term::1,"Not only was the food outstanding, but the little 'perks' were great.",perks,perks,positive,51,56
train,1458,1458::term::0,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,orrechiete with sausage and chicken,positive,27,62
train,1458,1458::term::1,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,waiters,positive,76,83
train,1458,1458::term::2,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,meats,neutral,152,157
train,1458,1458::term::3,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,dish,neutral,113,117
train,3161,3161::term::0,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,bagels,positive,4,10
train,2391,2391::term::0,Nevertheless the food itself is pretty good.,food,food,positive,17,21
train,296,296::term::0,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,toast,negative,41,46
