split,sentence_id,category_id,text,category,polarity
train,3121,3121::cat::0,But the staff was so horrible to us.,service,negative
train,2777,2777::cat::0,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive
train,2777,2777::cat::1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",anecdotes/miscellaneous,negative
train,1634,1634::cat::0,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
train,2534,2534::cat::0,Where Gabriela personaly greets you and recommends you what to eat.,service,positive
train,583,583::cat::0,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",anecdotes/miscellaneous,positive
train,2846,2846::cat::0,"Not only was the food outstanding, but the little 'perks' were great.",food,positive
train,2846,2846::cat::1,"Not only was the food outstanding, but the little 'perks' were great.",service,positive
train,1571,1571::cat::0,It is very overpriced and not very tasty.,food,negative
train,1571,1571::cat::1,It is very overpriced and not very tasty.,price,negative
train,1458,1458::cat::0,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,positive
train,1458,1458::cat::1,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,service,positive
train,3161,3161::cat::0,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive
train,2391,2391::cat::0,Nevertheless the food itself is pretty good.,food,positive
train,296,296::cat::0,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative
train,1793,1793::cat::0,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",service,conflict
train,2200,2200::cat::0,The design and atmosphere is just as good.,ambience,positive
train,3195,3195::cat::0,He has visited Thailand and is quite expert on the cuisine.,food,positive
train,3119,3119::cat::0,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,anecdotes/miscellaneous,positive
train,3359,3359::cat::0,The pizza is the best if you like thin crusted pizza.,food,positive
train,70,70::cat::0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,anecdotes/miscellaneous,positive
train,1829,1829::cat::0,"He can't help, they're bought up so fast.",anecdotes/miscellaneous,neutral
train,2935,2935::cat::0,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",ambience,negative
train,1805,1805::cat::0,"i have eaten here a handful of times, for no reason besides sheer convenience.",anecdotes/miscellaneous,neutral
train,2559,2559::cat::0,Obviously run by folks who know a pie.,service,positive
train,716,716::cat::0,We were very disappointed.,anecdotes/miscellaneous,negative
train,2464,2464::cat::0,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,anecdotes/miscellaneous,positive
train,2464,2464::cat::1,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,price,positive
train,385,385::cat::0,I really liked this place.,anecdotes/miscellaneous,positive
train,1350,1350::cat::0,I will be going back very soon.,anecdotes/miscellaneous,positive
train,3534,3534::cat::0,"All the money went into the interior decoration, none of it went to the chefs.",ambience,positive
train,3534,3534::cat::1,"All the money went into the interior decoration, none of it went to the chefs.",food,negative
train,1407,1407::cat::0,The seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,negative
train,565,565::cat::0,"I asked for seltzer with lime, no ice.",food,neutral
train,387,387::cat::0,It was pretty inexpensive too.,price,positive
train,1314,1314::cat::0,Will not be back.,anecdotes/miscellaneous,negative
train,675,675::cat::0,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
train,2227,2227::cat::0,My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral
train,3367,3367::cat::0,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
train,3367,3367::cat::1,"Best of all is the warm vibe, the owner is super friendly and service is fast.",ambience,positive
train,1210,1210::cat::0,This isn't a value joint.,price,negative
train,2191,2191::cat::0,Faan's got a great concept but a little rough on the delivery.,anecdotes/miscellaneous,positive
train,2191,2191::cat::1,Faan's got a great concept but a little rough on the delivery.,service,negative
train,270,270::cat::0,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
train,270,270::cat::1,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
train,270,270::cat::2,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,positive
train,638,638::cat::0,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive
train,638,638::cat::1,"Great food at REASONABLE prices, makes for an evening that can't be beat!",price,positive
train,500,500::cat::0,Look foward to trying the Ruben upon returning.,anecdotes/miscellaneous,positive
train,1108,1108::cat::0,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,anecdotes/miscellaneous,neutral
train,3294,3294::cat::0,We usually go to the Chart House to celebrate a birthday or anniversary.,anecdotes/miscellaneous,neutral
train,388,388::cat::0,this little place has a cute interior decor and affordable city prices.,ambience,positive
train,388,388::cat::1,this little place has a cute interior decor and affordable city prices.,price,positive
train,3070,3070::cat::0,You'll adore it.,anecdotes/miscellaneous,positive
train,3373,3373::cat::0,Two words: Free wine.,price,positive
train,425,425::cat::0,The price is reasonable although the service is poor.,service,negative
train,425,425::cat::1,The price is reasonable although the service is poor.,price,positive
train,3192,3192::cat::0,"The quantity is also very good, you will come out satisfied.",food,positive
train,1098,1098::cat::0,I have been to Roth's twice and both times were very disappointing.,anecdotes/miscellaneous,negative
train,2173,2173::cat::0,Worth visiting the 1st Ave spot because it is the original store.,anecdotes/miscellaneous,positive
train,391,391::cat::0,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",anecdotes/miscellaneous,neutral
train,263,263::cat::0,"Raga's is a romantic, cozy restaurant.",ambience,positive
train,2384,2384::cat::0,The fried rice is amazing here.,food,positive
train,2962,2962::cat::0,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive
train,3404,3404::cat::0,it's a perfect place to have a amanzing indian food.,food,positive
train,2599,2599::cat::0,The place is so cool and the service is prompt and curtious.,service,positive
train,2599,2599::cat::1,The place is so cool and the service is prompt and curtious.,ambience,positive
train,673,673::cat::0,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive
train,648,648::cat::0,I just wonder how you can have such a delicious meal for such little money.,price,positive
train,648,648::cat::1,I just wonder how you can have such a delicious meal for such little money.,food,positive
train,863,863::cat::0,The food was delicious but do not come here on a empty stomach.,food,conflict
train,1623,1623::cat::0,The wine list is excellent.,food,positive
train,2177,2177::cat::0,so garantuan that you can't fit them in a toaster.,food,positive
train,430,430::cat::0,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive
train,1101,1101::cat::0,They wouldnt even let me finish my glass of wine before offering another.,service,positive
train,1823,1823::cat::0,I highly recommend the Sophia pizza.,anecdotes/miscellaneous,positive
train,324,324::cat::0,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",service,negative
train,2783,2783::cat::0,This is a consistently great place to dine for lunch or dinner.,anecdotes/miscellaneous,positive
train,2983,2983::cat::0,"Nice atmosphere, the service was very pleasant and the desert was good.",food,positive
train,2983,2983::cat::1,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive
train,2983,2983::cat::2,"Nice atmosphere, the service was very pleasant and the desert was good.",ambience,positive
train,66,66::cat::0,All the people that I bring there go back on their own and bring THEIR friends!,anecdotes/miscellaneous,positive
train,627,627::cat::0,After really enjoying ourselves at the bar we sat down at a table and had dinner.,anecdotes/miscellaneous,positive
train,3219,3219::cat::0,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
train,3219,3219::cat::1,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
train,3219,3219::cat::2,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",ambience,positive
train,2934,2934::cat::0,Not what I wanted to hear.,anecdotes/miscellaneous,negative
train,2787,2787::cat::0,Try the lasagnette appetizer.,food,positive
train,825,825::cat::0,"Pricey, but worth a try, at least once.",price,negative
train,825,825::cat::1,"Pricey, but worth a try, at least once.",anecdotes/miscellaneous,positive
train,197,197::cat::0,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",anecdotes/miscellaneous,negative
train,604,604::cat::0,I liked the beer selection!,food,positive
train,2911,2911::cat::0,"Great food, good size menu, great service and an unpretensious setting.",food,positive
train,2911,2911::cat::1,"Great food, good size menu, great service and an unpretensious setting.",service,positive
train,2911,2911::cat::2,"Great food, good size menu, great service and an unpretensious setting.",ambience,positive
train,3074,3074::cat::0,Go here for a romantic dinner but not for an all out wow dining experience.,anecdotes/miscellaneous,conflict
train,1479,1479::cat::0,Can't wait to go back.,anecdotes/miscellaneous,positive
train,1074,1074::cat::0,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,anecdotes/miscellaneous,neutral
train,912,912::cat::0,Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,positive
train,728,728::cat::0,"With the great variety on the menu , I eat here often and never get bored .",food,positive
train,2925,2925::cat::0,The menu is very limited - i think we counted 4 or 5 entrees.,food,negative
train,495,495::cat::0,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",anecdotes/miscellaneous,positive
train,3436,3436::cat::0,The menu is limited but almost all of the dishes are excellent.,food,conflict
train,3273,3273::cat::0,Not too crazy about their sake martini.,food,negative
train,1215,1215::cat::0,"Great bagels, spreads and a good place to hang out in.",food,positive
train,1215,1215::cat::1,"Great bagels, spreads and a good place to hang out in.",anecdotes/miscellaneous,positive
train,183,183::cat::0,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict
train,2511,2511::cat::0,"whoever the jazz duo was, they were on POINT.",ambience,positive
train,282,282::cat::0,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,service,positive
train,1562,1562::cat::0,This place is a great bargain.,price,positive
train,1712,1712::cat::0,We happened upon this place purely by accident and were pleased with the results.,anecdotes/miscellaneous,positive
train,3249,3249::cat::0,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
train,3249,3249::cat::1,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",anecdotes/miscellaneous,negative
train,2052,2052::cat::0,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,anecdotes/miscellaneous,positive
train,3207,3207::cat::0,We always have a delicious meal and always leave feeling satisfied.,food,positive
train,672,672::cat::0,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,neutral
train,2972,2972::cat::0,First went here to enjoy their garden terrace.,ambience,positive
train,1903,1903::cat::0,"My husbands was perfect, my was well done and dry.",food,conflict
train,2549,2549::cat::0,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",service,positive
train,1755,1755::cat::0,The pizza was pretty good and huge.,food,positive
train,2890,2890::cat::0,Sapphire is the only Indian restaurant I go to when I'm in NYC.,anecdotes/miscellaneous,positive
train,2277,2277::cat::0,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,neutral
train,2308,2308::cat::0,I heartily recommend.,anecdotes/miscellaneous,positive
train,51,51::cat::0,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,anecdotes/miscellaneous,positive
train,3680,3680::cat::0,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,ambience,positive
train,3155,3155::cat::0,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
train,3155,3155::cat::1,They are often crowded on the weekends but they are efficient and accurate with their service.,ambience,negative
train,1688,1688::cat::0,All my co-workers were amazed at how small the dish was.,food,negative
train,598,598::cat::0,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
train,598,598::cat::1,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
train,598,598::cat::2,"The atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive
train,2926,2926::cat::0,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative
train,3083,3083::cat::0,"The wait staff is friendly, and the food has gotten better and better!",food,positive
