split,sentence_id,aspect_id,text,term,term_normalized,polarity
train,3121,3121::term::0,But the staff was so horrible to us.,staff,staff,negative
train,2777,2777::term::0,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,food,positive
train,1634,1634::term::0,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,food,positive
train,1634,1634::term::1,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,kitchen,positive
train,1634,1634::term::2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,menu,neutral
train,2846,2846::term::0,"Not only was the food outstanding, but the little 'perks' were great.",food,food,positive
train,2846,2846::term::1,"Not only was the food outstanding, but the little 'perks' were great.",perks,perks,positive
train,1458,1458::term::0,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,orrechiete with sausage and chicken,positive
train,1458,1458::term::1,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,waiters,positive
train,1458,1458::term::2,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,meats,neutral
train,1458,1458::term::3,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,dish,neutral
train,3161,3161::term::0,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,bagels,positive
train,2391,2391::term::0,Nevertheless the food itself is pretty good.,food,food,positive
train,296,296::term::0,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,toast,negative
train,296,296::term::1,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,mayonnaise,negative
train,296,296::term::2,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,bacon,negative
train,296,296::term::3,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,cheese,neutral
train,296,296::term::4,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,ingredients,negative
train,296,296::term::5,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,plate,neutral
train,296,296::term::6,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,omelet,neutral
train,1793,1793::term::0,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,drinks,neutral
train,1793,1793::term::1,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,check,neutral
train,2200,2200::term::0,The design and atmosphere is just as good.,design,design,positive
train,2200,2200::term::1,The design and atmosphere is just as good.,atmosphere,atmosphere,positive
train,3195,3195::term::0,He has visited Thailand and is quite expert on the cuisine.,cuisine,cuisine,positive
train,3359,3359::term::0,The pizza is the best if you like thin crusted pizza.,pizza,pizza,positive
train,3359,3359::term::1,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,thin crusted pizza,neutral
train,3534,3534::term::0,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,interior decoration,positive
train,3534,3534::term::1,"All the money went into the interior decoration, none of it went to the chefs.",chefs,chefs,negative
train,1407,1407::term::0,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,seats,negative
train,565,565::term::0,"I asked for seltzer with lime, no ice.",seltzer with lime,seltzer with lime,neutral
train,675,675::term::0,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,pickles,positive
train,675,675::term::1,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,selection of meats and seafoods,positive
train,2227,2227::term::0,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,dishes,neutral
train,2227,2227::term::1,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,eat family style,positive
train,3367,3367::term::0,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,vibe,positive
train,3367,3367::term::1,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,owner,positive
train,3367,3367::term::2,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,service,positive
train,2191,2191::term::0,Faan's got a great concept but a little rough on the delivery.,delivery,delivery,negative
train,270,270::term::0,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,food,positive
train,270,270::term::1,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,atmosphere,positive
train,270,270::term::2,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,service,positive
train,638,638::term::0,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,food,positive
train,638,638::term::1,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,prices,positive
train,388,388::term::0,this little place has a cute interior decor and affordable city prices.,interior decor,interior decor,positive
train,388,388::term::1,this little place has a cute interior decor and affordable city prices.,prices,prices,positive
train,3373,3373::term::0,Two words: Free wine.,wine,wine,positive
train,425,425::term::0,The price is reasonable although the service is poor.,price,price,positive
train,425,425::term::1,The price is reasonable although the service is poor.,service,service,negative
train,3192,3192::term::0,"The quantity is also very good, you will come out satisfied.",quantity,quantity,positive
train,391,391::term::0,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,sushi,neutral
