num,type,input,response_keyword,keyword_time_s,keyword_verdict,response_bart,bart_time_s,bart_verdict,responses_match
1,greeting,Hello!,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct,,,,
2,greeting,Hi there,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct,,,,
3,greeting,Good morning,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct,,,,
4,greeting,Hey!,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct,,,,
5,greeting,Howdy,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct,,,,
6,farewell,Goodbye,Thanks for chatting! Hope the insights were helpful. Goodbye! 👋,0.0,correct,,,,
7,farewell,Bye,Thanks for chatting! Hope the insights were helpful. Goodbye! 👋,0.0,correct,,,,
8,farewell,Thanks for your help,Thanks for chatting! Hope the insights were helpful. Goodbye! 👋,0.0,correct,,,,
9,restaurant_pos,The pizza was amazing,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.007,wrong,"Here is what I found:

  😊 FOOD: positive  (about: pizza)

Want to ask about a specific aspect like food quality or service?",2.496,correct,no
10,restaurant_pos,The service was excellent,"Here is what I found:

  😊 SERVICE: positive  (about: service)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😊 SERVICE: positive  (about: service)

Want to ask about a specific aspect like food quality or service?",0.365,correct,yes
11,restaurant_pos,The desserts were delicious,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"Here is what I found:

  😊 FOOD: positive  (about: desserts)

Want to ask about a specific aspect like food quality or service?",0.373,correct,no
12,restaurant_pos,The waitress was very nice,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"Here is what I found:

  😊 SERVICE: positive  (about: waitress)

Want to ask about a specific aspect like food quality or service?",0.368,correct,no
13,restaurant_pos,The ambience was wonderful,"Here is what I found:

  😊 AMBIENCE: positive  (about: ambience)

Want to ask about a specific aspect like food quality or service?",0.003,correct,"Here is what I found:

  😊 MISCELLANEOUS: positive  (about: ambience)

Want to ask about a specific aspect like food quality or service?",0.366,correct,no
14,restaurant_pos,Best pasta I have ever had,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"Here is what I found:

  😊 FOOD: positive  (about: pasta, best pasta)

Want to ask about a specific aspect like food quality or service?",0.626,correct,no
15,restaurant_neg,The pasta was cold,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,wrong,"Here is what I found:

  😊 FOOD: positive  (about: pasta)

Want to ask about a specific aspect like food quality or service?",0.364,partial,no
16,restaurant_neg,The waiter was rude to us,"Here is what I found:

  😞 SERVICE: negative  (about: waiter)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😞 SERVICE: negative  (about: waiter)

Want to ask about a specific aspect like food quality or service?",0.366,correct,yes
17,restaurant_neg,The food was terrible and overpriced,"Here is what I found:

  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.364,correct,yes
18,restaurant_neg,The music was too loud,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.108,wrong,yes
19,restaurant_neg,The service was very slow,"Here is what I found:

  😞 SERVICE: negative  (about: service)

Want to ask about a specific aspect like food quality or service?",0.003,correct,"Here is what I found:

  😞 SERVICE: negative  (about: service)

Want to ask about a specific aspect like food quality or service?",0.366,correct,yes
20,restaurant_neg,This place is dirty,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,wrong,"Here is what I found:

  😞 AMBIENCE: negative  (about: this place)
  😞 MISCELLANEOUS: negative  (about: place)

Want to ask about a specific aspect like food quality or service?",0.623,correct,no
21,restaurant_mixed,The pasta was cold but the waiter was incredibly friendly and fast,"Here is what I found:

  😞 SERVICE: negative  (about: waiter)
  😞 FOOD: negative  (about: pasta)

Want to ask about a specific aspect like food quality or service?",0.005,correct,"Here is what I found:

  😞 SERVICE: negative  (about: waiter)
  😞 FOOD: negative  (about: pasta)

Want to ask about a specific aspect like food quality or service?",0.596,correct,yes
22,restaurant_mixed,"Overpriced for the tiny portions, though the atmosphere was cozy","Here is what I found:

  🤔 AMBIENCE: conflict  (about: atmosphere)
  😞 MISCELLANEOUS: negative  (about: tiny portions, portions)

Want to ask about a specific aspect like food quality or service?",0.005,correct,"Here is what I found:

  🤔 AMBIENCE: conflict  (about: atmosphere)
  😞 MISCELLANEOUS: negative  (about: tiny portions, portions)

Want to ask about a specific aspect like food quality or service?",0.861,correct,yes
