num,type,input,response,time_s,verdict
1,greeting,Hello!,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.712,correct
2,greeting,Hi there,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct
3,greeting,Good morning,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct
4,greeting,Hey!,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct
5,greeting,Howdy,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,correct
6,farewell,Goodbye,Thanks for chatting! Hope the insights were helpful. Goodbye! 👋,0.0,correct
7,farewell,Bye,Thanks for chatting! Hope the insights were helpful. Goodbye! 👋,0.0,correct
8,farewell,Thanks for your help,"I can help you with:
  • Analysing sentiment in restaurant reviews
  • Identifying which aspects are positive or negative
  • Answering questions about food, service, price, ambience

Try typing:
  ""The pasta was cold but the waiter was friendly""
  ""What do people think about the service?""",0.0,correct
9,restaurant_pos,The pizza was amazing,"Here is what I found:

  😊 FOOD: positive  (about: pizza)

Want to ask about a specific aspect like food quality or service?",0.003,correct
10,restaurant_pos,The service was excellent,"Here is what I found:

  😊 SERVICE: positive  (about: service)

Want to ask about a specific aspect like food quality or service?",0.002,correct
11,restaurant_pos,The desserts were delicious,"Here is what I found:

  😊 FOOD: positive  (about: desserts)

Want to ask about a specific aspect like food quality or service?",0.002,correct
12,restaurant_pos,The waitress was very nice,"Here is what I found:

  😊 SERVICE: positive  (about: waitress)

Want to ask about a specific aspect like food quality or service?",0.003,correct
13,restaurant_pos,The ambience was wonderful,"Here is what I found:

  😊 AMBIENCE: positive  (about: ambience)

Want to ask about a specific aspect like food quality or service?",0.002,correct
14,restaurant_pos,Best pasta I have ever had,"Here is what I found:

  😊 FOOD: positive  (about: pasta, best pasta)

Want to ask about a specific aspect like food quality or service?",0.003,correct
15,restaurant_neg,The pasta was cold,"Here is what I found:

  😊 FOOD: positive  (about: pasta)

Want to ask about a specific aspect like food quality or service?",0.002,partial
16,restaurant_neg,The waiter was rude to us,"Here is what I found:

  😞 SERVICE: negative  (about: waiter)

Want to ask about a specific aspect like food quality or service?",0.002,correct
17,restaurant_neg,The food was terrible and overpriced,"Here is what I found:

  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.002,correct
18,restaurant_neg,The music was too loud,"Here is what I found:

  😞 AMBIENCE: negative  (about: music)

Want to ask about a specific aspect like food quality or service?",0.002,correct
19,restaurant_neg,The service was very slow,"Here is what I found:

  😞 SERVICE: negative  (about: service)

Want to ask about a specific aspect like food quality or service?",0.002,correct
20,restaurant_neg,This place is dirty,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: place, this place)

Want to ask about a specific aspect like food quality or service?",0.002,correct
21,restaurant_mixed,The pasta was cold but the waiter was incredibly friendly and fast,"Here is what I found:

  😞 FOOD: negative  (about: pasta)
  😞 SERVICE: negative  (about: waiter)

Want to ask about a specific aspect like food quality or service?",0.003,correct
22,restaurant_mixed,"Overpriced for the tiny portions, though the atmosphere was cozy","Here is what I found:

  😞 MISCELLANEOUS: negative  (about: portions, tiny portions)
  🤔 AMBIENCE: conflict  (about: atmosphere)

Want to ask about a specific aspect like food quality or service?",0.003,correct
23,restaurant_mixed,"Great value and quick service, but the music was too loud to talk","Here is what I found:

  😞 SERVICE: negative  (about: quick service, service)
  😞 AMBIENCE: negative  (about: music)
  😞 PRICE: negative  (about: value, great value)

Want to ask about a specific aspect like food quality or service?",0.003,correct
24,restaurant_mixed,The staff was rude and the waiting time was too long,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: time, waiting, waiting time)
  😞 SERVICE: negative  (about: staff)

Want to ask about a specific aspect like food quality or service?",0.003,correct
25,restaurant_mixed,Amazing desserts and the ambience was perfect for a date night,"Here is what I found:

  😊 MISCELLANEOUS: positive  (about: date night, night, date)
  😊 AMBIENCE: positive  (about: ambience)
  😊 FOOD: positive  (about: desserts, amazing desserts)

Want to ask about a specific aspect like food quality or service?",0.003,correct
